Date,Price,Open,High,Low,Vol.,Change %
10/19/2025,1.16413,1.1667,1.16756,1.16382,,
10/20/2025,1.16,1.16426,1.16553,1.15977,,
10/21/2025,1.161,1.15998,1.16226,1.1577,,
10/22/2025,1.16181,1.16124,1.16202,1.15854,,
10/23/2025,1.16254,1.16168,1.16503,1.16009,,
10/26/2025,1.1645,1.16358,1.1652,1.16178,,
10/27/2025,1.16522,1.16456,1.16688,1.16256,,
10/28/2025,1.16006,1.1651,1.16659,1.15776,,
10/29/2025,1.15653,1.1601,1.16374,1.1547,,
10/30/2025,1.15363,1.15673,1.15776,1.15216,,
11/02/2025,1.1519,1.15317,1.15414,1.15052,,
11/03/2025,1.14826,1.152,1.15337,1.14732,,
11/04/2025,1.14925,1.14834,1.14981,1.14686,,
11/05/2025,1.15471,1.14913,1.15523,1.14907,,
11/06/2025,1.15664,1.1545,1.15911,1.15296,,
11/09/2025,1.15571,1.15578,1.15831,1.15412,,
11/10/2025,1.15825,1.15564,1.16059,1.15472,,
11/11/2025,1.15932,1.1587,1.15977,1.1563,,
11/12/2025,1.16345,1.1593,1.16562,1.1579,,
11/13/2025,1.1622,1.16372,1.16538,1.1606,,
11/16/2025,1.15923,1.16199,1.16246,1.1582,,
11/17/2025,1.15807,1.15923,1.16078,1.15715,,
11/18/2025,1.15384,1.15818,1.15975,1.15178,,
11/19/2025,1.15285,1.1539,1.155,1.15024,,
11/20/2025,1.1513,1.15275,1.15525,1.14912,,
11/23/2025,1.15216,1.15193,1.15506,1.15019,,
11/24/2025,1.15697,1.15218,1.15861,1.15116,,
11/25/2025,1.15963,1.15706,1.16009,1.15471,,
11/26/2025,1.1596,1.15935,1.16136,1.15766,,
11/27/2025,1.15985,1.15962,1.16076,1.15553,,
11/30/2025,1.16092,1.15938,1.16526,1.15894,,
12/01/2025,1.16254,1.16104,1.1626,1.15912,,
12/02/2025,1.16714,1.16242,1.16778,1.16211,,
12/03/2025,1.16449,1.16716,1.1682,1.1641,,
12/04/2025,1.16438,1.16464,1.16718,1.1628,,
12/07/2025,1.1637,1.16401,1.16722,1.16165,,
12/08/2025,1.16266,1.16352,1.16573,1.16151,,
12/09/2025,1.16958,1.16275,1.16998,1.16216,,
12/10/2025,1.17384,1.16928,1.17628,1.16823,,
12/11/2025,1.17401,1.17388,1.17498,1.17196,,
12/14/2025,1.17539,1.1733,1.1769,1.17265,,
12/15/2025,1.1748,1.17521,1.18042,1.17346,,
12/16/2025,1.17401,1.17476,1.17582,1.17031,,
12/17/2025,1.17236,1.17408,1.17628,1.17124,,
